experiment,experiment_label,primary_metric,model,optimizer,seed,accuracy_test,balanced_accuracy_test,mcc_test,f1_test,auc_roc_test,auc_pr_test,reported_metric
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,rf,random_search,3,0.6055776892430279,0.6047918242586103,0.2103177782814649,0.625236593059937,0.638964667794345,0.6273210999245245,0.6055776892430279
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,svm,de,1,0.6334661354581673,0.6324220016363833,0.2665185349467425,0.6562889165628891,0.6754524864424982,0.6682006689688107,0.6334661354581673
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,svm,de,2,0.5544488711819389,0.5523649267045843,0.1073022101717342,0.6017804154302671,0.5773482210396548,0.5745410045283141,0.5544488711819389
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,svm,de,3,0.5644090305444888,0.5621241225390846,0.1279557475999878,0.6143445032333921,0.5988049109141472,0.6006163240522098,0.5644090305444888
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,svm,ga,1,0.5312084993359893,0.5342323884800382,0.0720672791178456,0.4505836575875486,0.541883913823028,0.5330118843772159,0.5312084993359893
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,svm,ga,2,0.5903054448871182,0.5883755036509872,0.1805085765518224,0.6314217443249701,0.6232862634224229,0.6118219272615049,0.5903054448871182
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,svm,ga,3,0.548140770252324,0.5526611076682861,0.1191190173185164,0.4176294394522892,0.610383756139194,0.5931414459910238,0.548140770252324
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,svm,gwo,1,0.6344621513944223,0.633386409197268,0.2685636300160689,0.6577556729872552,0.6765454669757123,0.6689346597922203,0.6344621513944223
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,svm,gwo,2,0.5737051792828686,0.5718330359761732,0.146516873053477,0.6153385260635111,0.5966520303723324,0.5877332514508707,0.5737051792828686
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,svm,gwo,3,0.5713811420982736,0.5704354940796887,0.1415677740025033,0.5956780457250235,0.5962852776227894,0.600341115907441,0.5713811420982736
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,svm,pso,1,0.5727091633466136,0.5677859645950172,0.1580124291635242,0.6626474442988205,0.6214304459916328,0.6169658059052971,0.5727091633466136
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,svm,pso,2,0.5733731739707836,0.5719805751159472,0.145524248282573,0.6061906221268771,0.6060155831324611,0.603384072301078,0.5733731739707836
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,svm,pso,3,0.5667330677290837,0.5646600755559182,0.1324763427404244,0.6126447016918967,0.59301581910687,0.588935198186127,0.5667330677290837
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,svm,random_search,1,0.5916334661354582,0.5896784352470784,0.1832740760719771,0.633054892601432,0.6221743167217642,0.6107535835866542,0.5916334661354582
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,svm,random_search,2,0.5916334661354582,0.5899854225154872,0.1827456771971697,0.6277239709443099,0.6213841332571746,0.6096727254553067,0.5916334661354582
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,svm,random_search,3,0.5796812749003984,0.5777985572480532,0.1587280709601237,0.6209580838323353,0.603375316194681,0.591646096390068,0.5796812749003984
