experiment,experiment_label,model,optimizer,n,reported_metric_mean,reported_metric_std,accuracy_mean,accuracy_std,mcc_mean,mcc_std,f1_mean,f1_std,auc_roc_mean,auc_pr_mean
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,de,3,0.2917295392155801,0.005558782701212186,0.6460823373173971,0.002875250344569847,0.2917295392155801,0.005558782701212186,0.6618303751714704,0.0034984535489858927,0.6866221623342206,0.6587382073867084
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,ga,3,0.29291234240283975,0.0061261549237998205,0.6465250110668438,0.0031555062924708364,0.29291234240283975,0.0061261549237998205,0.6694296562184437,0.0008538142674273919,0.6860781714850289,0.6614461935878719
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,gwo,3,0.2884363804083878,0.003828721098520232,0.6443116423196105,0.0018285426783818451,0.2884363804083878,0.003828721098520232,0.6672101794901687,0.0030987030243347083,0.6864413956452798,0.6591944023698594
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,pso,3,0.29286543193480913,0.0013566495275802492,0.6466356795042053,0.0007667334252186419,0.29286543193480913,0.0013566495275802492,0.6615704316836277,0.0060211905944813375,0.6871146210772929,0.6598243110200549
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,random_search,3,0.2805820291260706,0.015969899112852844,0.6404382470119522,0.007849661631830596,0.2805820291260706,0.015969899112852844,0.6624556010014145,0.010179157965727492,0.682189225011523,0.6566679090221922
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,de,3,0.18700833283179744,0.1709981783363363,0.5976095617529881,0.07682964474671783,0.18700833283179744,0.1709981783363363,0.6746357658333623,0.0037676299549243525,0.5656591073992312,0.5858569468956751
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,ga,3,0.28984121981688793,0.004794955592914124,0.6440903054448871,0.001756806979458558,0.28984121981688793,0.004794955592914124,0.676957956706255,0.00731750641021964,0.6992759040723596,0.6806596880605763
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,gwo,3,0.2315902875884465,0.06578055654374618,0.6126604692341745,0.03569378800989405,0.2315902875884465,0.06578055654374618,0.5918663088496402,0.0826845337158864,0.6590040409698621,0.6381539004948811
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,pso,3,0.2545363441703519,0.08396351168541807,0.6073483842408145,0.061114534081002404,0.2545363441703519,0.08396351168541807,0.4720572981199025,0.21286106888396494,0.6960020348198249,0.6806650148604008
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,random_search,3,0.10494421143510567,0.22432660870191967,0.5561088977423639,0.09076505472557211,0.10494421143510567,0.22432660870191967,0.5927814513654268,0.10403162427707265,0.4598272314467877,0.4983289092164472
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,de,3,0.6344621513944223,0.002073372509428417,0.6344621513944223,0.002073372509428417,0.2686091123635311,0.004546769167830605,0.6431506179758961,0.003825095223630237,0.6739688616697431,0.647316484678229
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,ga,3,0.6340194776449756,0.0017037189373993507,0.6340194776449756,0.0017037189373993507,0.2677188922595105,0.003456649996646348,0.6415955076821668,0.0012619031281036683,0.6742185828744329,0.6489021562643371
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,gwo,3,0.6367861885790173,0.0006640106241699861,0.6367861885790173,0.0006640106241699861,0.2757428957167779,0.001250827910082313,0.6270172624803685,0.004164689596435834,0.6777974545638994,0.6530110927782777
