experiment,experiment_label,model,optimizer,seed,budget,best_fitness_at_budget,progress_to_final_at_budget,runtime_minutes_at_budget
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,random_search,2,500,0.4303102017483366,0.9336840776719816,1.0563922410500013
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,random_search,2,1000,0.4343459116259165,1.0,2.0574030904166674
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,random_search,3,50,0.4239570027133348,0.9078328780952213,0.09806415959999977
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,random_search,3,100,0.4258977454222485,0.922911195732075,0.2075934628499993
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,random_search,3,250,0.426130340995279,0.9247183131387112,0.5136811867999955
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,random_search,3,500,0.426979358379022,0.9313146299675674,1.0588459331666729
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,random_search,3,1000,0.4358199090498525,1.0,2.0997956181000026
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,de,1,50,0.4196841808682122,0.9877456259014461,4.490792961749897
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,de,1,100,0.4196841808682122,0.9877456259014461,11.281505458849795
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,de,1,250,0.4199413137851664,1.0,34.02822711748292
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,de,1,500,0.4199413137851664,1.0,76.19055289248239
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,de,1,1000,0.4199413137851664,1.0,160.51520444248132
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,de,2,50,0.4195456508810906,0.8107615145307233,2.2944674321332665
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,de,2,100,0.4212014447920381,0.875377963675445,3.847669718733232
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,de,2,250,0.4243948794614969,1.0,7.745450030549909
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,de,2,500,0.4243948794614969,1.0,13.726550372649188
